fixed_costs,variable_cost_per_unit,price_per_unit,units_sold,marketing_spend,employee_count,total_revenue,total_costs,profit_or_loss,status
17609,20.27,90.54,2371,18526,13,214670.34,90695.17,123975.17,Profit
16636,7.81,33.19,4990,16193,17,165618.1,80300.9,85317.2,Profit
8022,26.88,117.32,4031,9712,30,472916.92,141087.28,331829.64,Profit
10151,9.91,21.24,188,5696,43,3993.12,39210.08,-35216.96,Loss
6600,16.18,114.47,152,14350,48,17399.44,47409.36,-30009.92,Loss
8996,19.26,105.42,533,7499,43,56188.86,48260.58,7928.28,Profit
10007,41.4,110.5,4369,7822,93,482774.5,245205.6,237568.9,Profit
13946,44.4,138.34,4123,3643,114,570375.82,257650.2,312725.62,Profit
5642,18.61,91.12,1898,14312,66,172945.76,88275.78,84669.98,Profit
12312,43.64,63.5,1934,18354,119,122809,174565.76,-51756.76,Loss
8679,43.58,88.35,3255,6178,53,287579.25,183209.9,104369.35,Profit
9208,39.41,47.49,2211,1882,72,105000.39,134225.51,-29225.12,Loss
19589,11.6,51.18,1514,10028,78,77486.52,86179.4,-8692.88,Loss
11716,36.06,110.48,693,7614,162,76562.64,125319.58,-48756.94,Loss
18453,47.53,86.79,3486,9934,74,302549.94,231076.58,71473.36,Profit
4444,35.71,69.41,4603,2205,72,319494.23,207022.13,112472.1,Profit
11757,19.92,79.86,660,6497,199,52707.6,130901.2,-78193.6,Loss
15434,27.53,114.88,4352,8462,13,499957.76,150206.56,349751.2,Profit
2060,34.06,39.77,1593,11891,184,63353.61,160208.58,-96854.97,Loss
19711,27.98,67.14,3589,15035,59,240965.46,164666.22,76299.24,Profit
4420,10.4,27.07,1516,19478,32,41038.12,55664.4,-14626.28,Loss
1301,19.04,88.88,966,12629,83,85858.08,73822.64,12035.44,Profit
13468,41.11,52.58,1231,18199,120,64725.98,142273.41,-77547.43,Loss
17990,43.76,110.58,2196,9259,54,242833.68,150345.96,92487.72,Profit
1699,11.18,40.51,2322,3204,2,94064.22,31862.96,62201.26,Profit
1190,47.86,68.55,901,6225,118,61763.55,109536.86,-47773.31,Loss
11492,19.8,113.5,4586,624,37,520511,121418.8,399092.2,Profit
18364,34.8,37.63,769,10229,97,28937.47,103854.2,-74916.73,Loss
3975,38.83,83.17,4730,13267,103,393394.1,252407.9,140986.2,Profit
7102,41.54,44.68,2064,5307,114,92219.52,155147.56,-62928.04,Loss
18568,47.56,96.44,3522,18854,161,339661.68,285428.32,54233.36,Profit
2816,19.08,69.68,3692,16509,1,257258.56,90268.36,166990.2,Profit
1569,43.63,76.47,3920,19646,128,299762.4,256244.6,43517.8,Profit
6442,10.93,25.01,113,17698,103,2826.13,76875.09,-74048.96,Loss
2895,36.73,74.99,4913,3601,156,368425.87,264950.49,103475.38,Profit
4863,38.39,105.94,609,2154,145,64517.46,102896.51,-38379.05,Loss
13913,35.5,113.96,1783,17015,57,203190.68,122724.5,80466.18,Profit
8455,16.35,69.89,719,894,70,50250.91,56104.65,-5853.74,Loss
5014,44.29,103.68,3944,7819,180,408913.92,277512.76,131401.16,Profit
12093,12.6,33.46,1592,4073,44,53268.32,58225.2,-4956.88,Loss
19070,7.41,36.86,1321,9673,175,48692.06,126031.61,-77339.55,Loss
4009,37.29,54.32,2465,7606,141,133898.8,174034.85,-40136.05,Loss
17538,26.4,52.08,2841,11647,76,147959.28,142187.4,5771.88,Profit
11729,43.21,66.47,4763,5560,158,316596.61,302098.23,14498.38,Profit
2409,22.25,74.68,3104,16826,85,231806.72,130799,101007.72,Profit
13249,12.57,69.28,2508,13342,66,173754.24,91116.56,82637.68,Profit
1784,42.64,137.19,3115,11433,53,427346.85,172540.6,254806.25,Profit
9096,29.7,50.06,1213,7132,18,60722.78,61254.1,-531.32,Loss
8560,13.51,78.04,4609,7255,28,359686.36,92082.59,267603.77,Profit
13533,37.42,119.33,2799,11630,132,334004.67,195901.58,138103.09,Profit
8343,28,84.46,1998,6089,42,168751.08,91376,77375.08,Profit
8206,32.19,58.44,109,12112,126,6369.96,86826.71,-80456.75,Loss
6801,25.74,52.73,3152,15343,117,166204.96,161776.48,4428.48,Profit
17921,42.29,47.18,382,19388,134,18022.76,120463.78,-102441.02,Loss
6986,42.33,73.57,4221,19917,102,310538.97,256577.93,53961.04,Profit
19225,36.92,111.64,239,12515,137,26681.96,109063.88,-82381.92,Loss
11647,9.74,15.44,3610,13172,148,55738.4,133980.4,-78242,Loss
9716,42.75,65.46,345,3476,38,22583.7,46940.75,-24357.05,Loss
13323,35.2,106.12,2598,18355,196,275699.76,221127.6,54572.16,Profit
5780,36.37,114.85,226,12391,50,25956.1,51390.62,-25434.52,Loss
3368,21.33,67.41,849,7095,60,57231.09,58572.17,-1341.08,Loss
13039,44.57,114.68,855,18026,141,98051.4,139672.35,-41620.95,Loss
7655,37.64,77.05,1792,13904,119,138073.6,148509.88,-10436.28,Loss
9173,10.07,26.9,264,19452,99,7101.6,80783.48,-73681.88,Loss
5495,23.35,63.77,1929,18492,94,123012.33,116029.15,6983.18,Profit
11893,44.89,103.31,2750,13325,170,284102.5,233665.5,50437,Profit
14403,7.12,101.98,646,18781,68,65879.08,71783.52,-5904.44,Loss
14121,48.26,56.07,1767,2692,153,99075.69,178588.42,-79512.73,Loss
11966,35.56,86.79,1405,12764,159,121939.95,154191.8,-32251.85,Loss
1853,33.41,66.97,4273,1591,140,286162.81,216204.93,69957.88,Profit
17958,17.18,68.5,1342,17583,64,91927,90596.56,1330.44,Profit
18532,16.2,19.57,2648,10593,79,51821.36,111522.6,-59701.24,Loss
10907,47.39,79.38,3487,2678,189,276798.06,273333.93,3464.13,Profit
5777,18.42,100.59,4764,17616,53,479210.76,137645.88,341564.88,Profit
16338,39.9,95.74,191,14092,26,18286.34,51050.9,-32764.56,Loss
3491,22.69,68.3,3266,9204,189,223067.8,181300.54,41767.26,Profit
16328,11.27,40.54,2889,3187,138,117120.06,121074.03,-3953.97,Loss
15599,5.48,35.99,4390,4256,140,157996.1,113912.2,44083.9,Profit
4051,29.49,68.42,3563,6561,150,243780.46,190684.87,53095.59,Profit
16979,48.91,132.63,2800,9123,181,371364,253550,117814,Profit
17388,21.61,118.36,1764,4994,21,208787.04,71002.04,137785,Profit
1876,21.07,65.5,1185,1779,163,77617.5,110122.95,-32505.45,Loss
5142,20.48,60.42,3771,7038,71,227843.82,124910.08,102933.74,Profit
16202,28.42,113.23,1959,2721,82,221817.57,115597.78,106219.79,Profit
7966,24.83,68.09,2297,5664,155,156402.73,148164.51,8238.22,Profit
8079,44.6,100.25,4566,1354,60,457741.5,243076.6,214664.9,Profit
8987,27.75,51.61,4152,3712,99,214284.72,177417,36867.72,Profit
7799,27.85,102.46,1598,19470,47,163731.08,95273.3,68457.78,Profit
5465,11.23,64.9,2689,19652,194,174516.1,152314.47,22201.63,Profit
18019,49.22,130.31,4816,14885,143,627572.96,341447.52,286125.44,Profit
14417,16.25,94.54,4561,13030,24,431196.94,113563.25,317633.69,Profit
19077,8.3,30.59,2881,3840,10,88129.79,51829.3,36300.49,Profit
9311,34.84,106.69,1056,10311,120,112664.64,116413.04,-3748.4,Loss
18214,31.79,112,3271,775,152,366352,198974.09,167377.91,Profit
15098,23.68,58.94,3112,12795,88,183421.28,145585.16,37836.12,Profit
6177,24,42.09,4573,1214,104,192477.57,169143,23334.57,Profit
15262,40.33,41.59,3102,6554,124,129012.18,208919.66,-79907.48,Loss
9308,13.81,59.45,4479,1309,185,266276.55,164971.99,101304.56,Profit
6949,41.91,77.8,2369,13715,34,184308.2,136948.79,47359.41,Profit
2150,34.19,90.13,3589,9553,41,323476.57,154910.91,168565.66,Profit
2931,23.85,43.47,2416,536,168,105023.52,145088.6,-40065.08,Loss
10204,25.61,111.72,576,10773,11,64350.72,41228.36,23122.36,Profit
19048,16.55,43.07,2857,12999,1,123050.99,79830.35,43220.64,Profit
2081,38.85,62.27,1245,11903,158,77526.15,141352.25,-63826.1,Loss
17896,28.08,76.67,1803,15537,171,138236.01,169561.24,-31325.23,Loss
14407,19.44,69.83,1722,19539,82,120247.26,108421.68,11825.58,Profit
8805,31.82,54.11,2078,14517,26,112440.58,102443.96,9996.62,Profit
6237,49.81,77.72,1704,17865,53,132434.88,135478.24,-3043.36,Loss
17943,24.59,42.39,4599,15196,125,194951.61,208728.41,-13776.8,Loss
13775,46.43,118.56,4891,6947,175,579876.96,335311.13,244565.83,Profit
17244,20.53,97.77,4091,13083,9,399977.07,118815.23,281161.84,Profit
14184,7.46,54.23,897,651,9,48644.31,26026.62,22617.69,Profit
4343,14.19,85.88,917,14757,129,78751.96,96612.23,-17860.27,Loss
